anthro,mu,sigma,nu,tau,sex,ga
birth length,43.4687,1.770071,0.967756,19.95849,Female,231
birth length,43.63901,1.763221,0.9677558,19.95849,Female,232
birth length,43.80932,1.756371,0.9677558,19.95849,Female,233
birth length,43.97669,1.749635,0.9677558,19.95849,Female,234
birth length,44.14116,1.74301,0.9677558,19.95849,Female,235
birth length,44.30279,1.736494,0.9677558,19.95849,Female,236
birth length,44.46165,1.730084,0.9677558,19.95849,Female,237
birth length,44.61778,1.723778,0.9677558,19.95849,Female,238
birth length,44.77125,1.717573,0.9677558,19.95849,Female,239
birth length,44.92209,1.711468,0.9677558,19.95849,Female,240
birth length,45.07038,1.70546,0.9677558,19.95849,Female,241
birth length,45.21616,1.699547,0.9677558,19.95849,Female,242
birth length,45.35947,1.693726,0.9677558,19.95849,Female,243
birth length,45.50037,1.687997,0.9677558,19.95849,Female,244
birth length,45.6389,1.682357,0.9677558,19.95849,Female,245
birth length,45.77511,1.676804,0.9677558,19.95849,Female,246
birth length,45.90905,1.671336,0.9677558,19.95849,Female,247
birth length,46.04075,1.665952,0.9677558,19.95849,Female,248
birth length,46.17027,1.66065,0.9677558,19.95849,Female,249
birth length,46.29764,1.655427,0.9677558,19.95849,Female,250
birth length,46.42291,1.650283,0.9677558,19.95849,Female,251
birth length,46.54611,1.645216,0.9677558,19.95849,Female,252
birth length,46.66729,1.640224,0.9677558,19.95849,Female,253
birth length,46.78648,1.635306,0.9677558,19.95849,Female,254
birth length,46.90372,1.63046,0.9677558,19.95849,Female,255
birth length,47.01905,1.625685,0.9677558,19.95849,Female,256
birth length,47.1325,1.620979,0.9677558,19.95849,Female,257
birth length,47.24412,1.616342,0.9677558,19.95849,Female,258
birth length,47.35392,1.611771,0.9677558,19.95849,Female,259
birth length,47.46196,1.607265,0.9677558,19.95849,Female,260
birth length,47.56825,1.602823,0.9677558,19.95849,Female,261
birth length,47.67283,1.598444,0.9677558,19.95849,Female,262
birth length,47.77575,1.594127,0.9677558,19.95849,Female,263
birth length,47.87701,1.58987,0.9677558,19.95849,Female,264
birth length,47.97666,1.585673,0.9677558,19.95849,Female,265
birth length,48.07472,1.581533,0.9677558,19.95849,Female,266
birth length,48.17123,1.577451,0.9677558,19.95849,Female,267
birth length,48.26621,1.573425,0.9677558,19.95849,Female,268
birth length,48.35969,1.569453,0.9677558,19.95849,Female,269
birth length,48.45169,1.565536,0.9677558,19.95849,Female,270
birth length,48.54225,1.561671,0.9677558,19.95849,Female,271
birth length,48.63139,1.557858,0.9677558,19.95849,Female,272
birth length,48.71913,1.554097,0.9677558,19.95849,Female,273
birth length,48.8055,1.550385,0.9677558,19.95849,Female,274
birth length,48.89052,1.546722,0.9677558,19.95849,Female,275
birth length,48.97422,1.543108,0.9677558,19.95849,Female,276
birth length,49.05663,1.539541,0.9677558,19.95849,Female,277
birth length,49.13775,1.536021,0.9677558,19.95849,Female,278
birth length,49.21763,1.532546,0.9677558,19.95849,Female,279
birth length,49.29627,1.529116,0.9677558,19.95849,Female,280
birth length,49.3737,1.525731,0.9677558,19.95849,Female,281
birth length,49.44994,1.522388,0.9677558,19.95849,Female,282
birth length,49.52501,1.519089,0.9677558,19.95849,Female,283
birth length,49.59894,1.515831,0.9677558,19.95849,Female,284
birth length,49.67173,1.512614,0.9677558,19.95849,Female,285
birth length,49.74342,1.509438,0.9677558,19.95849,Female,286
birth length,49.81401,1.506301,0.9677558,19.95849,Female,287
birth length,49.88354,1.503203,0.9677558,19.95849,Female,288
birth length,49.95201,1.500144,0.9677558,19.95849,Female,289
birth length,50.01945,1.497122,0.9677558,19.95849,Female,290
birth length,50.08587,1.494138,0.9677558,19.95849,Female,291
birth length,50.15129,1.49119,0.9677558,19.95849,Female,292
birth length,50.21572,1.488278,0.9677558,19.95849,Female,293
birth length,50.27919,1.485401,0.9677558,19.95849,Female,294
birth length,50.34171,1.482559,0.9677558,19.95849,Female,295
birth length,50.40329,1.479751,0.9677558,19.95849,Female,296
birth length,50.46396,1.476976,0.9677558,19.95849,Female,297
birth length,50.52372,1.474234,0.9677558,19.95849,Female,298
birth length,50.58259,1.471525,0.9677558,19.95849,Female,299
birth length,50.64059,1.468848,0.9677558,19.95849,Female,300
birth length,43.78604,2.039598,1.007603,15.4146,Male,231
birth length,43.96134,2.025278,1.007603,15.4146,Male,232
birth length,44.13388,2.011242,1.007603,15.4146,Male,233
birth length,44.30372,1.99748,1.007603,15.4146,Male,234
birth length,44.47091,1.983986,1.007603,15.4146,Male,235
birth length,44.6355,1.970752,1.007603,15.4146,Male,236
birth length,44.79755,1.957773,1.007603,15.4146,Male,237
birth length,44.95709,1.94504,1.007603,15.4146,Male,238
birth length,45.11418,1.932548,1.007603,15.4146,Male,239
birth length,45.26886,1.920291,1.007603,15.4146,Male,240
birth length,45.42118,1.908263,1.007603,15.4146,Male,241
birth length,45.57119,1.896457,1.007603,15.4146,Male,242
birth length,45.71892,1.884868,1.007603,15.4146,Male,243
birth length,45.86442,1.873491,1.007603,15.4146,Male,244
birth length,46.00773,1.86232,1.007603,15.4146,Male,245
birth length,46.1489,1.851351,1.007603,15.4146,Male,246
birth length,46.28795,1.840578,1.007603,15.4146,Male,247
birth length,46.42493,1.829997,1.007603,15.4146,Male,248
birth length,46.55988,1.819603,1.007603,15.4146,Male,249
birth length,46.69284,1.809391,1.007603,15.4146,Male,250
birth length,46.82383,1.799357,1.007603,15.4146,Male,251
birth length,46.95291,1.789497,1.007603,15.4146,Male,252
birth length,47.08009,1.779807,1.007603,15.4146,Male,253
birth length,47.20542,1.770283,1.007603,15.4146,Male,254
birth length,47.32892,1.760921,1.007603,15.4146,Male,255
birth length,47.45064,1.751716,1.007603,15.4146,Male,256
birth length,47.5706,1.742666,1.007603,15.4146,Male,257
birth length,47.68883,1.733768,1.007603,15.4146,Male,258
birth length,47.80537,1.725016,1.007603,15.4146,Male,259
birth length,47.92024,1.716409,1.007603,15.4146,Male,260
birth length,48.03347,1.707943,1.007603,15.4146,Male,261
birth length,48.14509,1.699615,1.007603,15.4146,Male,262
birth length,48.25514,1.691421,1.007603,15.4146,Male,263
birth length,48.36363,1.68336,1.007603,15.4146,Male,264
birth length,48.4706,1.675427,1.007603,15.4146,Male,265
birth length,48.57606,1.66762,1.007603,15.4146,Male,266
birth length,48.68005,1.659936,1.007603,15.4146,Male,267
birth length,48.78259,1.652373,1.007603,15.4146,Male,268
birth length,48.88371,1.644929,1.007603,15.4146,Male,269
birth length,48.98343,1.637599,1.007603,15.4146,Male,270
birth length,49.08177,1.630383,1.007603,15.4146,Male,271
birth length,49.17876,1.623278,1.007603,15.4146,Male,272
birth length,49.27442,1.616281,1.007603,15.4146,Male,273
birth length,49.36876,1.60939,1.007603,15.4146,Male,274
birth length,49.46183,1.602603,1.007603,15.4146,Male,275
birth length,49.55363,1.595918,1.007603,15.4146,Male,276
birth length,49.64418,1.589332,1.007603,15.4146,Male,277
birth length,49.73351,1.582844,1.007603,15.4146,Male,278
birth length,49.82164,1.576452,1.007603,15.4146,Male,279
birth length,49.90858,1.570154,1.007603,15.4146,Male,280
birth length,49.99437,1.563948,1.007603,15.4146,Male,281
birth length,50.079,1.557831,1.007603,15.4146,Male,282
birth length,50.16251,1.551803,1.007603,15.4146,Male,283
birth length,50.24491,1.545861,1.007603,15.4146,Male,284
birth length,50.32622,1.540005,1.007603,15.4146,Male,285
birth length,50.40646,1.534231,1.007603,15.4146,Male,286
birth length,50.48564,1.528539,1.007603,15.4146,Male,287
birth length,50.56379,1.522927,1.007603,15.4146,Male,288
birth length,50.64091,1.517393,1.007603,15.4146,Male,289
birth length,50.71703,1.511937,1.007603,15.4146,Male,290
birth length,50.79216,1.506555,1.007603,15.4146,Male,291
birth length,50.86631,1.501248,1.007603,15.4146,Male,292
birth length,50.9395,1.496014,1.007603,15.4146,Male,293
birth length,51.01175,1.490851,1.007603,15.4146,Male,294
birth length,51.08308,1.485757,1.007603,15.4146,Male,295
birth length,51.15348,1.480733,1.007603,15.4146,Male,296
