anthro,mu,sigma,nu,tau,sex,ga
birthweight,1.795602,0.348924,1.126787,19.65738,Female,231
birthweight,1.836325,0.3497515,1.126787,19.65738,Female,232
birthweight,1.877048,0.3505792,1.126787,19.65738,Female,233
birthweight,1.917184,0.3513983,1.126787,19.65738,Female,234
birthweight,1.956738,0.3522089,1.126787,19.65738,Female,235
birthweight,1.995713,0.353011,1.126787,19.65738,Female,236
birthweight,2.034114,0.3538048,1.126787,19.65738,Female,237
birthweight,2.071947,0.3545903,1.126787,19.65738,Female,238
birthweight,2.109216,0.3553677,1.126787,19.65738,Female,239
birthweight,2.145926,0.356137,1.126787,19.65738,Female,240
birthweight,2.18208,0.3568985,1.126787,19.65738,Female,241
birthweight,2.217685,0.3576521,1.126787,19.65738,Female,242
birthweight,2.252744,0.358398,1.126787,19.65738,Female,243
birthweight,2.28726,0.3591363,1.126787,19.65738,Female,244
birthweight,2.321239,0.3598671,1.126787,19.65738,Female,245
birthweight,2.354684,0.3605904,1.126787,19.65738,Female,246
birthweight,2.387601,0.3613064,1.126787,19.65738,Female,247
birthweight,2.419992,0.3620151,1.126787,19.65738,Female,248
birthweight,2.451864,0.3627167,1.126787,19.65738,Female,249
birthweight,2.483218,0.3634112,1.126787,19.65738,Female,250
birthweight,2.514059,0.3640987,1.126787,19.65738,Female,251
birthweight,2.544391,0.3647794,1.126787,19.65738,Female,252
birthweight,2.574219,0.3654532,1.126787,19.65738,Female,253
birthweight,2.603545,0.3661203,1.126787,19.65738,Female,254
birthweight,2.632374,0.3667808,1.126787,19.65738,Female,255
birthweight,2.660711,0.3674347,1.126787,19.65738,Female,256
birthweight,2.688557,0.3680822,1.126787,19.65738,Female,257
birthweight,2.715917,0.3687232,1.126787,19.65738,Female,258
birthweight,2.742794,0.3693579,1.126787,19.65738,Female,259
birthweight,2.769193,0.3699865,1.126787,19.65738,Female,260
birthweight,2.795117,0.3706088,1.126787,19.65738,Female,261
birthweight,2.820569,0.3712251,1.126787,19.65738,Female,262
birthweight,2.845554,0.3718353,1.126787,19.65738,Female,263
birthweight,2.870074,0.3724396,1.126787,19.65738,Female,264
birthweight,2.894132,0.3730381,1.126787,19.65738,Female,265
birthweight,2.917732,0.3736308,1.126787,19.65738,Female,266
birthweight,2.940878,0.3742177,1.126787,19.65738,Female,267
birthweight,2.963573,0.374799,1.126787,19.65738,Female,268
birthweight,2.98582,0.3753747,1.126787,19.65738,Female,269
birthweight,3.007622,0.3759449,1.126787,19.65738,Female,270
birthweight,3.028983,0.3765097,1.126787,19.65738,Female,271
birthweight,3.049906,0.377069,1.126787,19.65738,Female,272
birthweight,3.070393,0.3776231,1.126787,19.65738,Female,273
birthweight,3.090449,0.3781719,1.126787,19.65738,Female,274
birthweight,3.110075,0.3787155,1.126787,19.65738,Female,275
birthweight,3.129276,0.3792539,1.126787,19.65738,Female,276
birthweight,3.148054,0.3797873,1.126787,19.65738,Female,277
birthweight,3.166412,0.3803157,1.126787,19.65738,Female,278
birthweight,3.184353,0.3808392,1.126787,19.65738,Female,279
birthweight,3.20188,0.3813577,1.126787,19.65738,Female,280
birthweight,3.218996,0.3818715,1.126787,19.65738,Female,281
birthweight,3.235704,0.3823804,1.126787,19.65738,Female,282
birthweight,3.252007,0.3828846,1.126787,19.65738,Female,283
birthweight,3.267907,0.3833842,1.126787,19.65738,Female,284
birthweight,3.283407,0.3838792,1.126787,19.65738,Female,285
birthweight,3.29851,0.3843696,1.126787,19.65738,Female,286
birthweight,3.313219,0.3848555,1.126787,19.65738,Female,287
birthweight,3.327536,0.385337,1.126787,19.65738,Female,288
birthweight,3.341464,0.385814,1.126787,19.65738,Female,289
birthweight,3.355006,0.3862867,1.126787,19.65738,Female,290
birthweight,3.368165,0.3867552,1.126787,19.65738,Female,291
birthweight,3.380942,0.3872194,1.126787,19.65738,Female,292
birthweight,3.393341,0.3876793,1.126787,19.65738,Female,293
birthweight,3.405363,0.3881352,1.126787,19.65738,Female,294
birthweight,3.417013,0.3885869,1.126787,19.65738,Female,295
birthweight,3.428291,0.3890346,1.126787,19.65738,Female,296
birthweight,3.439201,0.3894783,1.126787,19.65738,Female,297
birthweight,3.449745,0.389918,1.126787,19.65738,Female,298
birthweight,3.459925,0.3903538,1.126787,19.65738,Female,299
birthweight,3.469744,0.3907857,1.126787,19.65738,Female,300
birthweight,1.905973,0.4027349,1.095261,17.05299,Male,231
birthweight,1.945933,0.4024603,1.095261,17.05299,Male,232
birthweight,1.985389,0.4021894,1.095261,17.05299,Male,233
birthweight,2.024345,0.4019221,1.095261,17.05299,Male,234
birthweight,2.062806,0.4016584,1.095261,17.05299,Male,235
birthweight,2.100775,0.4013983,1.095261,17.05299,Male,236
birthweight,2.138257,0.4011415,1.095261,17.05299,Male,237
birthweight,2.175255,0.4008882,1.095261,17.05299,Male,238
birthweight,2.211773,0.4006382,1.095261,17.05299,Male,239
birthweight,2.247815,0.4003915,1.095261,17.05299,Male,240
birthweight,2.283385,0.400148,1.095261,17.05299,Male,241
birthweight,2.318488,0.3999076,1.095261,17.05299,Male,242
birthweight,2.353126,0.3996704,1.095261,17.05299,Male,243
birthweight,2.387302,0.3994362,1.095261,17.05299,Male,244
birthweight,2.421021,0.399205,1.095261,17.05299,Male,245
birthweight,2.454287,0.3989767,1.095261,17.05299,Male,246
birthweight,2.487102,0.3987514,1.095261,17.05299,Male,247
birthweight,2.51947,0.3985288,1.095261,17.05299,Male,248
birthweight,2.551396,0.3983091,1.095261,17.05299,Male,249
birthweight,2.582882,0.3980921,1.095261,17.05299,Male,250
birthweight,2.613931,0.3978779,1.095261,17.05299,Male,251
birthweight,2.644547,0.3976663,1.095261,17.05299,Male,252
birthweight,2.674734,0.3974573,1.095261,17.05299,Male,253
birthweight,2.704494,0.3972509,1.095261,17.05299,Male,254
birthweight,2.73383,0.397047,1.095261,17.05299,Male,255
birthweight,2.762748,0.3968456,1.095261,17.05299,Male,256
birthweight,2.791248,0.3966466,1.095261,17.05299,Male,257
birthweight,2.819334,0.3964501,1.095261,17.05299,Male,258
birthweight,2.847009,0.3962559,1.095261,17.05299,Male,259
birthweight,2.874277,0.396064,1.095261,17.05299,Male,260
birthweight,2.90114,0.3958745,1.095261,17.05299,Male,261
birthweight,2.927602,0.3956872,1.095261,17.05299,Male,262
birthweight,2.953666,0.3955021,1.095261,17.05299,Male,263
birthweight,2.979333,0.3953192,1.095261,17.05299,Male,264
birthweight,3.004608,0.3951384,1.095261,17.05299,Male,265
birthweight,3.029493,0.3949598,1.095261,17.05299,Male,266
birthweight,3.053991,0.3947832,1.095261,17.05299,Male,267
birthweight,3.078104,0.3946087,1.095261,17.05299,Male,268
birthweight,3.101837,0.3944363,1.095261,17.05299,Male,269
birthweight,3.12519,0.3942658,1.095261,17.05299,Male,270
birthweight,3.148168,0.3940972,1.095261,17.05299,Male,271
birthweight,3.170772,0.3939306,1.095261,17.05299,Male,272
birthweight,3.193005,0.3937659,1.095261,17.05299,Male,273
birthweight,3.214871,0.393603,1.095261,17.05299,Male,274
birthweight,3.236371,0.393442,1.095261,17.05299,Male,275
birthweight,3.257508,0.3932828,1.095261,17.05299,Male,276
birthweight,3.278286,0.3931254,1.095261,17.05299,Male,277
birthweight,3.298705,0.3929698,1.095261,17.05299,Male,278
birthweight,3.318769,0.3928158,1.095261,17.05299,Male,279
birthweight,3.33848,0.3926636,1.095261,17.05299,Male,280
birthweight,3.357841,0.3925131,1.095261,17.05299,Male,281
birthweight,3.376854,0.3923642,1.095261,17.05299,Male,282
birthweight,3.395522,0.3922169,1.095261,17.05299,Male,283
birthweight,3.413847,0.3920713,1.095261,17.05299,Male,284
birthweight,3.431831,0.3919272,1.095261,17.05299,Male,285
birthweight,3.449476,0.3917847,1.095261,17.05299,Male,286
birthweight,3.466785,0.3916438,1.095261,17.05299,Male,287
birthweight,3.483761,0.3915043,1.095261,17.05299,Male,288
birthweight,3.500405,0.3913664,1.095261,17.05299,Male,289
birthweight,3.516719,0.3912299,1.095261,17.05299,Male,290
birthweight,3.532707,0.3910949,1.095261,17.05299,Male,291
birthweight,3.54837,0.3909613,1.095261,17.05299,Male,292
birthweight,3.56371,0.3908291,1.095261,17.05299,Male,293
birthweight,3.578729,0.3906983,1.095261,17.05299,Male,294
birthweight,3.59343,0.3905689,1.095261,17.05299,Male,295
birthweight,3.607815,0.3904408,1.095261,17.05299,Male,296
birthweight,3.621885,0.390314,1.095261,17.05299,Male,297
birthweight,3.635644,0.3901886,1.095261,17.05299,Male,298
birthweight,3.649092,0.3900645,1.095261,17.05299,Male,299
birthweight,3.662232,0.3899416,1.095261,17.05299,Male,300
