anthro,mu,sigma,nu,tau,sex,ga
birth HC,30.38709,1.310714,1.045915,20.97268,Female,231
birth HC,30.47791,1.30326,1.045915,20.97268,Female,232
birth HC,30.56873,1.295806,1.045915,20.97268,Female,233
birth HC,30.65829,1.288488,1.045915,20.97268,Female,234
birth HC,30.7466,1.281304,1.045915,20.97268,Female,235
birth HC,30.8337,1.274251,1.045915,20.97268,Female,236
birth HC,30.91959,1.267325,1.045915,20.97268,Female,237
birth HC,31.0043,1.260522,1.045915,20.97268,Female,238
birth HC,31.08785,1.253841,1.045915,20.97268,Female,239
birth HC,31.17026,1.247278,1.045915,20.97268,Female,240
birth HC,31.25153,1.240831,1.045915,20.97268,Female,241
birth HC,31.3317,1.234495,1.045915,20.97268,Female,242
birth HC,31.41078,1.22827,1.045915,20.97268,Female,243
birth HC,31.48878,1.222152,1.045915,20.97268,Female,244
birth HC,31.56572,1.216138,1.045915,20.97268,Female,245
birth HC,31.64162,1.210227,1.045915,20.97268,Female,246
birth HC,31.71649,1.204415,1.045915,20.97268,Female,247
birth HC,31.79036,1.198701,1.045915,20.97268,Female,248
birth HC,31.86323,1.193083,1.045915,20.97268,Female,249
birth HC,31.93512,1.187557,1.045915,20.97268,Female,250
birth HC,32.00604,1.182123,1.045915,20.97268,Female,251
birth HC,32.07602,1.176778,1.045915,20.97268,Female,252
birth HC,32.14505,1.171519,1.045915,20.97268,Female,253
birth HC,32.21317,1.166346,1.045915,20.97268,Female,254
birth HC,32.28038,1.161256,1.045915,20.97268,Female,255
birth HC,32.34669,1.156247,1.045915,20.97268,Female,256
birth HC,32.41211,1.151318,1.045915,20.97268,Female,257
birth HC,32.47667,1.146466,1.045915,20.97268,Female,258
birth HC,32.54037,1.141691,1.045915,20.97268,Female,259
birth HC,32.60323,1.136991,1.045915,20.97268,Female,260
birth HC,32.66525,1.132363,1.045915,20.97268,Female,261
birth HC,32.72645,1.127807,1.045915,20.97268,Female,262
birth HC,32.78684,1.12332,1.045915,20.97268,Female,263
birth HC,32.84644,1.118902,1.045915,20.97268,Female,264
birth HC,32.90524,1.114551,1.045915,20.97268,Female,265
birth HC,32.96327,1.110266,1.045915,20.97268,Female,266
birth HC,33.02054,1.106045,1.045915,20.97268,Female,267
birth HC,33.07705,1.101887,1.045915,20.97268,Female,268
birth HC,33.13281,1.09779,1.045915,20.97268,Female,269
birth HC,33.18785,1.093754,1.045915,20.97268,Female,270
birth HC,33.24215,1.089777,1.045915,20.97268,Female,271
birth HC,33.29575,1.085859,1.045915,20.97268,Female,272
birth HC,33.34864,1.081997,1.045915,20.97268,Female,273
birth HC,33.40083,1.07819,1.045915,20.97268,Female,274
birth HC,33.45233,1.074439,1.045915,20.97268,Female,275
birth HC,33.50316,1.07074,1.045915,20.97268,Female,276
birth HC,33.55332,1.067095,1.045915,20.97268,Female,277
birth HC,33.60283,1.063501,1.045915,20.97268,Female,278
birth HC,33.65168,1.059957,1.045915,20.97268,Female,279
birth HC,33.69988,1.056463,1.045915,20.97268,Female,280
birth HC,33.74746,1.053017,1.045915,20.97268,Female,281
birth HC,33.7944,1.049619,1.045915,20.97268,Female,282
birth HC,33.84073,1.046268,1.045915,20.97268,Female,283
birth HC,33.88645,1.042963,1.045915,20.97268,Female,284
birth HC,33.93157,1.039703,1.045915,20.97268,Female,285
birth HC,33.97609,1.036486,1.045915,20.97268,Female,286
birth HC,34.02002,1.033314,1.045915,20.97268,Female,287
birth HC,34.06337,1.030184,1.045915,20.97268,Female,288
birth HC,34.10615,1.027095,1.045915,20.97268,Female,289
birth HC,34.14837,1.024048,1.045915,20.97268,Female,290
birth HC,34.19002,1.02104,1.045915,20.97268,Female,291
birth HC,34.23112,1.018073,1.045915,20.97268,Female,292
birth HC,34.27168,1.015144,1.045915,20.97268,Female,293
birth HC,34.31169,1.012253,1.045915,20.97268,Female,294
birth HC,34.35118,1.0094,1.045915,20.97268,Female,295
birth HC,34.39013,1.006584,1.045915,20.97268,Female,296
birth HC,34.42857,1.003803,1.045915,20.97268,Female,297
birth HC,34.46649,1.001059,1.045915,20.97268,Female,298
birth HC,34.50391,0.9983488,1.045915,20.97268,Female,299
birth HC,34.54082,0.9956732,1.045915,20.97268,Female,300
birth HC,30.82238,1.365932,1.033177,26.17975,Male,231
birth HC,30.90986,1.358723,1.033177,26.17975,Male,232
birth HC,30.99641,1.351644,1.033177,26.17975,Male,233
birth HC,31.08203,1.344692,1.033177,26.17975,Male,234
birth HC,31.16674,1.337863,1.033177,26.17975,Male,235
birth HC,31.25057,1.331155,1.033177,26.17975,Male,236
birth HC,31.33352,1.324565,1.033177,26.17975,Male,237
birth HC,31.41562,1.318089,1.033177,26.17975,Male,238
birth HC,31.49687,1.311726,1.033177,26.17975,Male,239
birth HC,31.57731,1.305472,1.033177,26.17975,Male,240
birth HC,31.65693,1.299326,1.033177,26.17975,Male,241
birth HC,31.73576,1.293283,1.033177,26.17975,Male,242
birth HC,31.81381,1.287343,1.033177,26.17975,Male,243
birth HC,31.89109,1.281503,1.033177,26.17975,Male,244
birth HC,31.96762,1.275759,1.033177,26.17975,Male,245
birth HC,32.04342,1.270111,1.033177,26.17975,Male,246
birth HC,32.11849,1.264556,1.033177,26.17975,Male,247
birth HC,32.19285,1.259092,1.033177,26.17975,Male,248
birth HC,32.26651,1.253717,1.033177,26.17975,Male,249
birth HC,32.33949,1.248429,1.033177,26.17975,Male,250
birth HC,32.41179,1.243226,1.033177,26.17975,Male,251
birth HC,32.48344,1.238105,1.033177,26.17975,Male,252
birth HC,32.55443,1.233066,1.033177,26.17975,Male,253
birth HC,32.62479,1.228107,1.033177,26.17975,Male,254
birth HC,32.69452,1.223226,1.033177,26.17975,Male,255
birth HC,32.76364,1.21842,1.033177,26.17975,Male,256
birth HC,32.83216,1.213689,1.033177,26.17975,Male,257
birth HC,32.90008,1.209032,1.033177,26.17975,Male,258
birth HC,32.96743,1.204445,1.033177,26.17975,Male,259
birth HC,33.0342,1.199929,1.033177,26.17975,Male,260
birth HC,33.10041,1.195481,1.033177,26.17975,Male,261
birth HC,33.16607,1.1911,1.033177,26.17975,Male,262
birth HC,33.2312,1.186784,1.033177,26.17975,Male,263
birth HC,33.29579,1.182533,1.033177,26.17975,Male,264
birth HC,33.35986,1.178345,1.033177,26.17975,Male,265
birth HC,33.42342,1.174219,1.033177,26.17975,Male,266
birth HC,33.48648,1.170153,1.033177,26.17975,Male,267
birth HC,33.54904,1.166147,1.033177,26.17975,Male,268
birth HC,33.61112,1.162198,1.033177,26.17975,Male,269
birth HC,33.67272,1.158306,1.033177,26.17975,Male,270
birth HC,33.73386,1.154471,1.033177,26.17975,Male,271
birth HC,33.79454,1.15069,1.033177,26.17975,Male,272
